junc.id	all_n40	max
chr10:+:69451690-69495593	0.175	0.175
chr10:+:69485215-69495520	0.025	0.025
chr10:+:69487118-69487572	0.025	0.025
chr10:+:69493312-69495593	0.025	0.025
chr10:+:69495689-69498208	0.1	0.1
chr10:+:69495689-69498232	0.075	0.075
chr10:+:69498396-69504441	0	0
chr10:+:70423021-70423607	0.025	0.025
chr10:+:70425892-70425952	0.025	0.025
chr10:+:70425931-70425952	0.025	0.025
chr10:+:70816880-70844475	0	0
chr10:+:70878802-70878857	0	0
chr10:+:70878929-70879087	0	0
chr10:+:72274807-72275546	0	0
chr10:+:72275496-72275899	0.025	0.025
chr10:+:73911925-73912040	0	0
chr10:+:73913329-73913538	0	0
chr10:+:73915011-73915250	0	0
chr10:+:73915399-73916425	0	0
chr10:+:74016339-74017887	0.075	0.075
chr10:+:74016514-74018062	0.025	0.025
chr10:+:74105229-74105253	0	0
chr10:+:74105832-74105883	0	0
chr10:+:75214070-75217945	0.025	0.025
chr10:+:75219356-75220746	0.025	0.025
chr10:+:75220970-75222225	0	0
chr10:+:75222337-75229643	0.025	0.025
chr10:+:7788263-7797053	0	0
chr10:+:7800091-7802273	0	0
chr10:+:7801569-7802273	0.025	0.025
chr10:+:78033904-78035381	0.025	0.025
chr10:+:78034338-78035351	0	0
chr10:+:78035581-78037238	0.025	0.025
chr10:+:78035724-78037225	0.025	0.025
chr10:+:78037290-78040628	0.025	0.025
chr10:+:78037304-78040620	0.025	0.025
chr10:+:78037304-78040628	0.025	0.025
chr10:+:78037441-78040614	0.5	0.5
chr10:+:78038275-78040203	0	0
chr10:+:7804525-7804916	0	0
chr10:+:79069270-79110437	0	0
chr10:+:79071772-79118914	0	0
chr10:+:79110760-79118914	0.1	0.1
chr10:+:79139777-79162055	0.3	0.3
chr10:+:79139777-79201583	0	0
chr10:+:79157024-79157054	0.1	0.1
chr10:+:79216274-79216383	0	0
chr10:+:79242894-79277180	0	0
chr10:+:79242969-79277180	0.4	0.4
chr10:+:79243070-79277180	0	0
chr10:+:79265283-79277180	0	0
chr10:+:79291004-79291038	0	0
chr10:+:79291046-79293395	0.025	0.025
chr10:+:79291176-79292186	0	0
chr10:+:79294114-79294226	0	0
chr10:+:79294170-79294281	0	0
chr10:+:79296525-79296553	0.025	0.025
chr10:+:79296653-79297621	0	0
chr10:+:79297690-79298454	0.05	0.05
chr10:+:79307571-79312641	0.9	0.9
chr10:+:79312861-79312941	0.025	0.025
chr10:+:79313041-79315035	0	0
chr10:+:79313446-79313534	0	0
chr10:+:79313987-79315035	0	0
chr10:+:79314972-79315087	0.025	0.025
chr10:+:79315493-79315542	0	0
chr10:+:8054891-8055338	0.025	0.025
chr10:+:8054891-8055509	0.025	0.025
chr10:+:8055196-8055286	0.025	0.025
chr10:+:8055818-8055985	0	0
chr10:+:8055876-8058304	0	0
chr10:+:8055896-8058312	0.025	0.025
chr10:+:8057276-8058308	0	0
chr10:+:8058131-8058312	0.05	0.05
chr10:+:8058144-8058308	0.025	0.025
chr10:+:8058144-8058597	0.025	0.025
chr10:+:8058232-8058253	0	0
chr10:+:8059618-8063992	0	0
chr10:+:8061704-8063992	0	0
chr10:+:8062963-8063639	0	0
chr10:+:8062997-8063639	0	0
chr10:+:8063851-8063992	0.025	0.025
chr10:+:8063851-8063995	0.025	0.025
chr10:+:8064138-8069479	0.025	0.025
chr10:+:8067591-8067725	0.025	0.025
chr10:+:8068835-8069472	0	0
chr10:+:8069598-8073746	0.375	0.375
chr10:+:8074428-8074524	0.025	0.025
chr10:-:101787445-101792838	0	0
chr10:-:101787493-101790895	0	0
chr10:-:101788005-101788313	0.025	0.025
chr10:-:101788103-101788244	0	0
chr10:-:101789806-101790895	0.05	0.05
chr10:-:101792256-101792389	0.025	0.025
chr10:-:101792502-101792838	0	0
chr10:-:101795480-101797979	0	0
chr10:-:101795971-101797979	0	0
chr10:-:101796343-101796652	0	0
chr10:-:101799451-101800241	0	0
chr10:-:101803446-101803734	0.05	0.05
chr10:-:101803845-101803972	0.025	0.025
chr10:-:101804010-101806044	0.025	0.025
chr10:-:101807901-101813029	0	0
chr10:-:101810038-101810183	0	0
chr10:-:101810314-101811442	0	0
chr10:-:101810314-101812247	0.175	0.175
chr10:-:101810935-101811170	0	0
chr10:-:101812380-101813029	0.25	0.25
chr10:-:101812923-101813029	0	0
chr10:-:101813127-101817823	0	0
chr10:-:101815532-101816053	0	0
chr10:-:102108233-102109034	0	0
chr10:-:102110043-102110868	0	0
chr10:-:102111317-102111433	0	0
chr10:-:102111536-102112074	0	0
chr10:-:102114605-102120085	0	0
chr10:-:102488272-102489062	0.025	0.025
chr10:-:103389166-103392381	0	0
chr10:-:103392283-103392381	0.025	0.025
chr10:-:103392450-103396408	0.025	0.025
chr10:-:103392466-103396297	0	0
chr10:-:103595259-103595602	0	0
chr10:-:103602940-103603654	0	0
chr10:-:103617306-103627088	0	0
chr10:-:103617314-103618491	0	0
chr10:-:103627202-103627680	0	0
chr10:-:103634161-103660982	0.075	0.075
chr10:-:103660864-103660982	0	0
chr10:-:103719563-103724269	0	0
chr10:-:103756134-103767093	0	0
chr10:-:103801362-103850613	0	0
chr10:-:116906747-116907108	0	0
chr10:-:116927891-116940465	0	0
chr10:-:116948997-116951926	0.025	0.025
chr10:-:116960230-116962545	0	0
chr10:-:116962614-116968651	0	0
chr10:-:116979308-116983140	0	0
chr10:-:116983195-117005021	0	0
chr10:-:119036264-119037118	0	0
chr10:-:119042130-119042250	0.025	0.025
chr10:-:119042167-119042197	0.05	0.05
chr10:-:119042167-119042227	0.025	0.025
chr10:-:119042167-119042257	0.05	0.05
chr10:-:119042167-119042287	0.675	0.675
chr10:-:119042185-119042215	0.025	0.025
chr10:-:119042185-119042245	0.125	0.125
chr10:-:119042185-119042275	0.075	0.075
chr10:-:119042190-119042373	0.025	0.025
chr10:-:119042215-119042638	0.025	0.025
chr10:-:119042220-119042310	0.05	0.05
chr10:-:119042245-119042638	0.025	0.025
chr10:-:119042250-119042310	0.05	0.05
chr10:-:119042280-119042310	0.025	0.025
chr10:-:119042532-119042553	0.025	0.025
chr10:-:119050606-119050633	0.05	0.05
chr10:-:119050606-119058065	0	0
chr10:-:119058090-119070885	0	0
chr10:-:119060827-119061223	0	0
chr10:-:119061328-119069445	0.025	0.025
chr10:-:119071005-119072889	0.15	0.15
chr10:-:119071053-119072889	0	0
chr10:-:119169313-119172381	0	0
chr10:-:119500259-119526031	0	0
chr10:-:119513452-119515382	0	0
chr10:-:119513452-119515508	0	0
chr10:-:119524572-119526031	0	0
chr10:-:119527424-119541794	0	0
chr10:-:124400974-124403868	0.025	0.025
chr10:-:124408634-124408740	0.025	0.025
chr10:-:124408758-124411972	0.05	0.05
chr10:-:124412200-124414952	0.025	0.025
chr10:-:124414432-124418872	0	0
chr10:-:124415072-124418872	0.025	0.025
chr10:-:133362933-133364698	0.05	0.05
chr10:-:133366626-133366810	0	0
chr10:-:21756751-21759169	0.025	0.025
chr10:-:21759387-21759419	0	0
chr10:-:21759618-21761517	0	0
chr10:-:21761547-21766260	0	0
chr10:-:21766309-21882281	0	0
chr10:-:21803984-21805979	0	0
chr10:-:21806099-21879743	0.15	0.15
chr10:-:21874428-21879743	0	0
chr10:-:21874428-21882281	0	0
chr10:-:21879883-21882281	0.5	0.5
chr10:-:21882385-21904521	0	0
chr10:-:21882434-21918778	0	0
chr10:-:21882439-21918778	0	0
chr10:-:21920844-21928505	0.025	0.025
chr10:-:21929141-21999394	0.075	0.075
chr10:-:21929141-22000373	0	0
chr10:-:21929141-22002508	0	0
chr10:-:27123687-27126695	0	0
chr10:-:27145015-27151755	0.025	0.025
chr10:-:27145573-27148905	0	0
chr10:-:27149033-27154177	0.025	0.025
chr10:-:32017183-32033925	0	0
chr10:-:32018156-32019857	0	0
chr10:-:32019959-32022139	0	0
chr10:-:32021285-32022139	0	0
chr10:-:32023033-32028427	0	0
chr10:-:32048551-32050309	0	0
chr10:-:32908532-32910222	0	0
chr10:-:32910267-32910370	0	0
chr10:-:32911588-32919884	0.075	0.075
chr10:-:32912038-32919884	0	0
chr10:-:32912043-32919884	0.025	0.025
chr10:-:32920339-32922316	0.025	0.025
chr10:-:32926023-32935491	0.025	0.025
chr10:-:32928253-32929821	0.025	0.025
chr10:-:32954487-32958144	0	0
chr10:-:3780229-3781766	0	0
chr10:-:43387338-43387632	0.175	0.175
chr10:-:43387725-43387760	0.025	0.025
chr10:-:43387729-43387856	0	0
chr10:-:43387936-43391312	0.125	0.125
chr10:-:43387936-43396455	0	0
chr10:-:43391448-43394629	0.025	0.025
chr10:-:43394688-43396458	0	0
chr10:-:43406433-43406803	0	0
chr10:-:43407594-43407716	0	0
chr10:-:46005610-46006261	0	0
chr10:-:46006589-46009410	0	0
chr10:-:46009547-46010222	0.05	0.05
chr10:-:46010400-46010495	0	0
chr10:-:46013023-46013549	0.075	0.075
chr10:-:46014930-46015125	0.075	0.075
chr10:-:46016691-46030525	0	0
chr10:-:5499273-5499431	0.025	0.025
chr10:-:5499300-5499408	0.025	0.025
chr10:-:5768276-5768315	0	0
chr10:-:5768384-5785141	0	0
chr10:-:5773136-5773244	0.025	0.025
chr10:-:5780016-5806362	0	0
chr10:-:5795014-5796762	0.075	0.075
chr10:-:5800705-5802309	0.025	0.025
chr10:-:5800705-5804053	0.025	0.025
chr10:-:5800705-5805773	0	0
chr10:-:5800705-5813247	0	0
chr10:-:5802340-5813213	0.025	0.025
chr10:-:5808393-5808648	0	0
chr10:-:59814755-59815757	0.025	0.025
chr10:-:59852702-59905388	0	0
chr10:-:59906306-59906330	0	0
chr10:-:70152395-70152524	0.025	0.025
chr10:-:70157801-70161003	0	0
chr10:-:70161069-70161599	0	0
chr10:-:70213578-70214499	0	0
chr10:-:70222652-70230340	0	0
chr10:-:70224812-70225299	0	0
chr10:-:71816384-71816540	0.025	0.025
chr10:-:71816891-71816965	0.025	0.025
chr10:-:71816929-71816965	0.075	0.075
chr10:-:71817161-71819780	0.125	0.125
chr10:-:71817200-71817298	0.025	0.025
chr10:-:71817476-71817567	0.05	0.05
chr10:-:71817630-71818616	0	0
chr10:-:71817702-71818616	0	0
chr10:-:71818724-71819464	0.025	0.025
chr10:-:71819057-71819245	0	0
chr10:-:71819090-71819464	0.025	0.025
chr10:-:71819102-71819464	0.1	0.1
chr10:-:71819542-71819828	0.025	0.025
chr10:-:71819575-71821875	0.025	0.025
chr10:-:71819583-71819713	0.05	0.05
chr10:-:71819602-71828876	0.025	0.025
chr10:-:71819828-71828954	0.125	0.125
chr10:-:71819896-71820239	0.325	0.325
chr10:-:71820296-71829062	0	0
chr10:-:71820326-71821875	0	0
chr10:-:71820326-71821938	0.025	0.025
chr10:-:71820332-71821875	0.525	0.525
chr10:-:71821225-71821875	0	0
chr10:-:71821998-71825836	0.05	0.05
chr10:-:71823893-71825836	0.1	0.1
chr10:-:71824107-71825836	0	0
chr10:-:71825887-71828013	0	0
chr10:-:71828106-71828876	0	0
chr10:-:71828136-71828876	0.025	0.025
chr10:-:71828157-71828954	0.025	0.025
chr10:-:71828892-71828951	0.025	0.025
chr10:-:71828906-71829062	0.075	0.075
chr10:-:71828906-71831125	0.15	0.15
chr10:-:71829026-71831125	0.025	0.025
chr10:-:71829075-71831125	0	0
chr10:-:71831179-71831845	0	0
chr10:-:71834499-71851181	0.025	0.025
chr10:-:73250192-73250358	0	0
chr10:-:73252023-73252223	0	0
chr10:-:80155912-80157671	0	0
chr10:-:86467487-86470991	0	0
chr10:-:86472344-86473877	0.35	0.35
chr10:-:86473973-86488345	0	0
chr10:-:86473973-86490104	0	0
chr10:-:86497301-86499717	0.875	0.875
chr10:-:86497337-86499717	0	0
chr10:-:86518091-86520914	0	0
chr10:-:88947053-88947257	0.15	0.15
chr10:-:89225219-89226894	0.025	0.025
chr10:-:89247649-89251706	0.15	0.15
chr10:-:93310643-93316713	0	0
chr10:-:93343932-93349807	0	0
chr10:-:93351812-93353810	0	0
chr10:-:93373079-93374762	0	0
chr10:-:93381396-93384077	0	0
chr10:-:93389145-93392916	0	0
chr10:-:93393474-93396141	0.225	0.225
chr10:-:93394211-93395365	0	0
chr10:-:93409739-93431407	0.175	0.175
chr10:-:93423522-93426070	0	0
chr10:-:93452141-93455407	0	0
chr10:-:93455500-93456881	0	0
chr10:-:93456937-93460280	0.425	0.425
chr10:-:93456937-93465713	0	0
chr10:-:93460351-93482106	0.175	0.175
chr10:-:95611395-95613741	0	0
chr10:-:95637436-95653289	0	0
chr10:-:96521816-96521884	0.025	0.025
chr10:-:96522092-96522154	0.025	0.025
chr10:-:96553059-96561977	0	0
chr11:+:114296710-114298033	0.025	0.025
chr11:+:114298105-114312060	0	0
chr11:+:114312261-114312390	0	0
chr11:+:117144418-117159933	0.025	0.025
chr11:+:117145138-117152440	0	0
chr11:+:117152528-117159941	0	0
chr11:+:117163892-117166022	0.025	0.025
chr11:+:117203193-117203393	0	0
chr11:+:117203193-117203396	0.025	0.025
chr11:+:117203354-117203827	0.025	0.025
chr11:+:117203875-117204635	0.025	0.025
chr11:+:118403431-118403728	0	0
chr11:+:118407097-118409003	0.2	0.2
chr11:+:118590506-118593589	0	0
chr11:+:118593698-118600624	0.05	0.05
chr11:+:118601191-118601272	0	0
chr11:+:125578257-125580092	0	0
chr11:+:125578257-125580134	0.025	0.025
chr11:+:125592958-125595880	0	0
chr11:+:125606465-125608162	0	0
chr11:+:125613009-125614095	0.025	0.025
chr11:+:130121297-130121613	0	0
chr11:+:130122513-130126756	0.025	0.025
chr11:+:130126830-130127293	0.075	0.075
chr11:+:130126830-130127771	0	0
chr11:+:130126830-130127774	0.025	0.025
chr11:+:130127840-130129091	0	0
chr11:+:130133728-130140397	0.15	0.15
chr11:+:130135639-130140397	0	0
chr11:+:130135715-130140412	0	0
chr11:+:130138114-130140397	0	0
chr11:+:130140457-130141497	0.05	0.05
chr11:+:130140468-130141497	0.05	0.05
chr11:+:130144091-130144455	0.025	0.025
chr11:+:130188170-130196338	0	0
chr11:+:130196700-130198307	0	0
chr11:+:130198413-130198507	0.025	0.025
chr11:+:130200030-130208409	0	0
chr11:+:130202112-130202429	0	0
chr11:+:16743667-16744600	0	0
chr11:+:16744634-16748124	0.05	0.05
chr11:+:16744684-16748100	0.025	0.025
chr11:+:16748157-16752790	0	0
chr11:+:16752174-16752784	0	0
chr11:+:16752889-16754870	0	0
chr11:+:16752894-16754874	0.025	0.025
chr11:+:16752894-16754877	0	0
chr11:+:18396968-18399440	0.025	0.025
chr11:+:18401010-18403706	0.025	0.025
chr11:+:18403811-18405521	0	0
chr11:+:18405572-18407151	0.025	0.025
chr11:+:18405572-18407173	0	0
chr11:+:1853197-1881431	0	0
chr11:+:1870759-1880086	0	0
chr11:+:1872038-1872507	0	0
chr11:+:1880224-1883418	0	0
chr11:+:1883560-1883937	0	0
chr11:+:1884323-1884505	0	0
chr11:+:2377479-2390421	0	0
chr11:+:2377498-2377527	0	0
chr11:+:2394192-2395007	0	0
chr11:+:2395046-2395424	0.025	0.025
chr11:+:2396948-2397040	0	0
chr11:+:2397058-2397151	0.025	0.025
chr11:+:251879-252895	0	0
chr11:+:252771-252869	0.025	0.025
chr11:+:252785-252869	0.025	0.025
chr11:+:313691-314049	0.05	0.05
chr11:+:32091450-32097147	0	0
chr11:+:32587144-32588647	0	0
chr11:+:32588704-32589011	0	0
chr11:+:32593949-32600783	0	0
chr11:+:33257889-33328509	0	0
chr11:+:33270072-33286412	0.025	0.025
chr11:+:33276847-33286412	0.075	0.075
chr11:+:33298947-33299379	0	0
chr11:+:33347753-33347855	0.05	0.05
chr11:+:33348013-33349146	0	0
chr11:+:34052501-34052576	0.025	0.025
chr11:+:34082877-34082965	0.025	0.025
chr11:+:34083011-34086361	0	0
chr11:+:34086219-34086331	0.025	0.025
chr11:+:34086219-34086361	0.025	0.025
chr11:+:34090678-34096478	0	0
chr11:+:34092056-34097241	0.025	0.025
chr11:+:34096592-34099302	0.3	0.3
chr11:+:34096598-34099302	0	0
chr11:+:34096673-34097198	0	0
chr11:+:34097296-34097709	0	0
chr11:+:35139202-35176601	0	0
chr11:+:35139370-35176601	0	0
chr11:+:35176625-35176651	0.025	0.025
chr11:+:35176740-35189869	0.025	0.025
chr11:+:35176740-35190014	0.05	0.05
chr11:+:35180407-35189834	0	0
chr11:+:35186969-35189873	0.025	0.025
chr11:+:35189972-35198120	0	0
chr11:+:35190065-35198144	0.1	0.1
chr11:+:35196874-35198071	0	0
chr11:+:35196874-35198144	0	0
chr11:+:35196874-35201081	0	0
chr11:+:35198246-35200645	0	0
chr11:+:35198246-35204511	0	0
chr11:+:35201195-35201646	0	0
chr11:+:35201195-35201676	0.025	0.025
chr11:+:35201787-35208104	0	0
chr11:+:35204640-35206144	0.025	0.025
chr11:+:35208206-35211245	0	0
chr11:+:35208206-35214851	0.025	0.025
chr11:+:35210054-35211263	0.15	0.15
chr11:+:35211449-35212441	0	0
chr11:+:35219387-35221716	0	0
chr11:+:35219387-35229194	0	0
chr11:+:35228880-35229185	0.025	0.025
chr11:+:35229693-35229752	0.025	0.025
chr11:+:46277877-46278146	0.025	0.025
chr11:+:46311131-46312438	0.025	0.025
chr11:+:46312646-46312850	0.075	0.075
chr11:+:46320528-46320746	0	0
chr11:+:46381981-46382056	0.025	0.025
chr11:+:46382133-46382298	0.05	0.05
chr11:+:46382461-46382637	0	0
chr11:+:5689899-5696174	0.025	0.025
chr11:+:5696699-5697247	0	0
chr11:+:57688665-57690378	0.025	0.025
chr11:+:57696043-57698558	0	0
chr11:+:57712784-57737607	0	0
chr11:+:57734510-57734898	0	0
chr11:+:57739028-57739130	0	0
chr11:+:57739039-57739109	0	0
chr11:+:57739039-57739189	0	0
chr11:+:57740286-57740363	0	0
chr11:+:57740354-57740395	0	0
chr11:+:57741890-57742116	0.025	0.025
chr11:+:57741926-57742116	0.025	0.025
chr11:+:57794081-57795584	0.025	0.025
chr11:+:57795741-57796456	0.025	0.025
chr11:+:58579224-58579450	0	0
chr11:+:58610334-58610952	0.525	0.525
chr11:+:60922099-60922189	0	0
chr11:+:61836375-61836646	0	0
chr11:+:61848284-61848413	0	0
chr11:+:61848284-61849748	0.075	0.075
chr11:+:61848413-61857010	0	0
chr11:+:61849889-61857010	0	0
chr11:+:61857527-61862971	0.025	0.025
chr11:+:61857530-61857733	0	0
chr11:+:61863069-61863339	0.025	0.025
chr11:+:61865277-61865647	0	0
chr11:+:61865277-61865865	0	0
chr11:+:61865727-61865865	0.025	0.025
chr11:+:61866111-61866503	0	0
chr11:+:62270271-62270854	0	0
chr11:+:62271059-62272956	0.325	0.325
chr11:+:62271068-62272973	0.025	0.025
chr11:+:62271068-62273006	0	0
chr11:+:63544881-63546148	0.025	0.025
chr11:+:63546294-63546329	0	0
chr11:+:63681778-63750074	0	0
chr11:+:63974794-63976273	0	0
chr11:+:63988398-63988665	0.025	0.025
chr11:+:63997244-63997405	0.025	0.025
chr11:+:64186410-64193077	0	0
chr11:+:64241132-64242418	0.1	0.1
chr11:+:64241534-64242383	0	0
chr11:+:64241643-64242383	0	0
chr11:+:64242558-64243450	0	0
chr11:+:64318386-64318645	0	0
chr11:+:64318386-64320660	0.4	0.4
chr11:+:64318832-64319733	0	0
chr11:+:64320717-64320864	0.05	0.05
chr11:+:64320717-64321025	0	0
chr11:+:64320903-64321009	0	0
chr11:+:64320903-64321013	0	0
chr11:+:65187298-65187972	0	0
chr11:+:65188040-65188146	0.025	0.025
chr11:+:65188746-65195731	0	0
chr11:+:65193123-65201660	0	0
chr11:+:65195868-65204682	0	0
chr11:+:65210872-65211268	0.025	0.025
chr11:+:65576406-65579081	0	0
chr11:+:65579164-65579340	0.025	0.025
chr11:+:65580197-65580336	0.075	0.075
chr11:+:65581126-65581217	0	0
chr11:+:65581326-65581538	0	0
chr11:+:65581326-65583591	0	0
chr11:+:65581326-65584240	0.15	0.15
chr11:+:65581373-65584240	0	0
chr11:+:65581965-65584240	0.45	0.45
chr11:+:65582169-65582412	0	0
chr11:+:65582619-65582694	0.025	0.025
chr11:+:65582787-65583207	0.075	0.075
chr11:+:65583063-65583198	0.025	0.025
chr11:+:65583765-65583919	0	0
chr11:+:65584002-65584240	0	0
chr11:+:65920462-65920578	0	0
chr11:+:65920462-65920582	0.025	0.025
chr11:+:66002835-66003234	0	0
chr11:+:66059338-66059520	0	0
chr11:+:66075037-66099318	0	0
chr11:+:66114203-66156639	0	0
chr11:+:66216611-66216710	0	0
chr11:+:66219414-66219745	0	0
chr11:+:66219833-66220630	0	0
chr11:+:66220791-66227503	0	0
chr11:+:66230663-66230809	0.025	0.025
chr11:+:66230940-66231247	0	0
chr11:+:66233837-66243348	0.025	0.025
chr11:+:66239260-66241595	0	0
chr11:+:66268693-66269562	0	0
chr11:+:66269694-66271796	0	0
chr11:+:66276487-66277062	0.025	0.025
chr11:+:66276945-66276988	0.05	0.05
chr11:+:66276975-66277002	0	0
chr11:+:66276975-66277390	0	0
chr11:+:66644083-66646026	0	0
chr11:+:67120049-67121254	0.05	0.05
chr11:+:67120049-67121257	0.025	0.025
chr11:+:67121358-67149765	0.1	0.1
chr11:+:67132073-67133796	0	0
chr11:+:67133856-67134533	0	0
chr11:+:67134647-67135211	0	0
chr11:+:67149815-67180078	0	0
chr11:+:67160496-67170690	0	0
chr11:+:67180217-67180843	0	0
chr11:+:67180939-67181319	0	0
chr11:+:67181892-67185851	0	0
chr11:+:67183822-67184120	0	0
chr11:+:67184212-67184348	0.025	0.025
chr11:+:67186581-67207509	0.05	0.05
chr11:+:67207688-67217730	0	0
chr11:+:67245474-67245984	0	0
chr11:+:67248370-67248608	0	0
chr11:+:67250328-67250490	0	0
chr11:+:67255340-67255559	0.025	0.025
chr11:+:67279273-67279390	0	0
chr11:+:67279900-67280494	0.1	0.1
chr11:+:67279900-67280497	0	0
chr11:+:67281728-67281850	0	0
chr11:+:67282363-67282434	0.025	0.025
chr11:+:67283758-67283881	0	0
chr11:+:67283949-67284264	0	0
chr11:+:67284983-67285077	0.025	0.025
chr11:+:67286239-67286322	0	0
chr11:+:67584169-67584496	0	0
chr11:+:67585163-67586602	0.025	0.025
chr11:+:67585241-67586106	0.05	0.05
chr11:+:67586130-67586185	0.025	0.025
chr11:+:67586436-67586538	0.025	0.025
chr11:+:67608664-67611069	0.125	0.125
chr11:+:67611207-67611488	0	0
chr11:+:67612218-67612446	0.025	0.025
chr11:+:68036134-68036354	0.025	0.025
chr11:+:69641412-69643927	0.075	0.075
chr11:+:69641668-69643030	0	0
chr11:+:69643060-69651216	0.025	0.025
chr11:+:69643060-69651231	0.025	0.025
chr11:+:69643060-69651234	0	0
chr11:+:69643738-69643831	0	0
chr11:+:69651234-69651901	0	0
chr11:+:69651597-69651901	0	0
chr11:+:69652040-69652173	0.225	0.225
chr11:+:69652040-69652447	0.025	0.025
chr11:+:69652253-69653480	0.025	0.025
chr11:+:69652416-69652463	0.025	0.025
chr11:+:69653536-69653646	0.025	0.025
chr11:+:69653583-69653639	0	0
chr11:+:69653981-69654115	0.025	0.025
chr11:+:69654115-69654302	0.025	0.025
chr11:+:70398614-70405321	0	0
chr11:+:70400398-70400465	0	0
chr11:+:70407645-70409830	0	0
chr11:+:70409533-70409830	0	0
chr11:+:70409960-70413864	0.15	0.15
chr11:+:70409960-70414545	0.275	0.275
chr11:+:70410167-70410223	0	0
chr11:+:70414003-70414541	0.025	0.025
chr11:+:70414652-70415686	0	0
chr11:+:70417123-70419757	0	0
chr11:+:70417140-70419745	0	0
chr11:+:70418429-70418485	0	0
chr11:+:70419775-70419801	0.025	0.025
chr11:+:70419856-70420411	0.025	0.025
chr11:+:70419856-70421469	0	0
chr11:+:70419856-70422939	0.05	0.05
chr11:+:70421536-70422093	0.025	0.025
chr11:+:70425401-70429100	0.025	0.025
chr11:+:70429120-70433653	0	0
chr11:+:70429171-70435575	0.025	0.025
chr11:+:70431280-70433118	0	0
chr11:+:70433137-70433235	0.025	0.025
chr11:+:70433278-70433648	0.025	0.025
chr11:+:70433278-70435025	0.025	0.025
chr11:+:70435969-70436312	0	0
chr11:+:74965117-74966788	0	0
chr11:+:74965117-74969644	0	0
chr11:+:75400777-75402399	0.025	0.025
chr11:+:75400777-75402427	0.025	0.025
chr11:+:75400777-75404019	0.025	0.025
chr11:+:75400824-75401646	0.025	0.025
chr11:+:75401688-75404066	0.025	0.025
chr11:+:75401733-75402366	0.025	0.025
chr11:+:75401733-75402399	0.025	0.025
chr11:+:75401733-75404776	0.025	0.025
chr11:+:75401733-75404829	0	0
chr11:+:75404074-75404736	0.025	0.025
chr11:+:75404121-75404688	0	0
chr11:+:75404207-75404688	0	0
