chr	source	start	end	strand	enst	symbol	ensg
1	ensembl_havana	23791145	23795539	+	ENST00000374514	LYPLA2	ENSG00000011009
1	ensembl_havana	159780960	159782543	+	ENST00000368108	DUSP23	ENSG00000158716
1	ensembl_havana	116373244	116404774	+	ENST00000295598	ATP1A1	ENSG00000163399
1	ensembl_havana	155127876	155134899	+	ENST00000368407	EFNA1	ENSG00000169242
1	havana	155135852	155138853	+	ENST00000368404	SLC50A1	ENSG00000169241
1	ensembl_havana	155169408	155173304	-	ENST00000295682	KRTCAP2	ENSG00000163463
1	ensembl_havana	10399064	10420511	+	ENST00000270776	PGD	ENSG00000142657
1	ensembl_havana	155689083	155738526	+	ENST00000343043	DAP3	ENSG00000132676
1	havana	155913045	155934399	-	ENST00000368320	KHDC4	ENSG00000132680
1	ensembl_havana	156009048	156020951	-	ENST00000295702	SSR2	ENSG00000163479
1	ensembl_havana	156035299	156053798	-	ENST00000368309	UBQLN4	ENSG00000160803
1	ensembl_havana	156061160	156070504	+	ENST00000361084	RAB25	ENSG00000132698
1	ensembl_havana	156249224	156282825	-	ENST00000361813	SMG5	ENSG00000198952
1	ensembl_havana	156308968	156338292	-	ENST00000295688	CCT3	ENSG00000163468
1	ensembl_havana	182382894	182391792	-	ENST00000339526	GLUL	ENSG00000135821
1	havana	182384196	182391759	-	ENST00000463851	GLUL	ENSG00000135821
1	havana	182385699	182391790	-	ENST00000489818	GLUL	ENSG00000135821
1	havana	151254734	151267479	+	ENST00000368884	PSMD4	ENSG00000159352
1	havana	151266544	151267460	+	ENST00000453615	PSMD4	ENSG00000159352
1	ensembl_havana	159918111	159925507	-	ENST00000368097	TAGLN2	ENSG00000158710
1	ensembl_havana	160205384	160215372	+	ENST00000360472	PEA15	ENSG00000162734
1	havana	160211287	160213717	+	ENST00000488858	PEA15	ENSG00000162734
1	havana	20651777	20661369	-	ENST00000602624	DDOST	ENSG00000244038
1	ensembl_havana	155139891	155140531	-	ENST00000368400	DPM3	ENSG00000179085
1	ensembl_havana	11934717	11975537	+	ENST00000196061	PLOD1	ENSG00000083444
1	havana	32651210	32668579	+	ENST00000401893	RBBP4	ENSG00000162521
1	ensembl_havana	32651356	32680040	+	ENST00000458695	RBBP4	ENSG00000162521
1	havana	32754021	32774970	+	ENST00000373481	KIAA1522	ENSG00000162522
1	ensembl_havana	161153978	161158856	+	ENST00000368003	UFC1	ENSG00000143222
1	ensembl_havana	161215295	161219245	+	ENST00000289902	FCER1G	ENSG00000158869
1	havana	25900741	25905128	-	ENST00000374291	STMN1	ENSG00000117632
1	ensembl_havana	44775540	44778779	+	ENST00000396651	RPS8	ENSG00000142937
1	havana	44775573	44778779	+	ENST00000372209	RPS8	ENSG00000142937
1	ensembl_havana	16974502	16980620	-	ENST00000375535	MFAP2	ENSG00000117122
1	ensembl_havana	17018722	17054032	-	ENST00000375499	SDHB	ENSG00000117118
1	ensembl_havana	17066761	17119451	-	ENST00000375486	PADI2	ENSG00000117115
1	havana	222644303	222665823	+	ENST00000340535	MIA3	ENSG00000154305
1	ensembl_havana	222668013	222712491	-	ENST00000340020	AIDA	ENSG00000186063
1	ensembl_havana	153974269	153977674	-	ENST00000271843	JTB	ENSG00000143543
1	ensembl_havana	153981650	153986339	-	ENST00000368575	RAB13	ENSG00000143545
1	ensembl_havana	153990762	153992155	+	ENST00000651669	RPS27	ENSG00000177954
1	ensembl_havana	23380909	23424748	-	ENST00000450454	TCEA3	ENSG00000204219
1	havana	155318719	155320665	+	ENST00000490140	FDPS	ENSG00000160752
1	havana	43164184	43172290	-	ENST00000236051	EBNA1BP2	ENSG00000117395
1	havana	31028758	31065695	-	ENST00000524516	PUM1	ENSG00000134644
1	ensembl_havana	37493762	37514763	-	ENST00000373073	MEAF6	ENSG00000163875
1	ensembl_havana	40072712	40097252	-	ENST00000642050	PPT1	ENSG00000131238
1	ensembl_havana	1401909	1407293	-	ENST00000344843	MRPL20	ENSG00000242485
1	ensembl_havana	43974960	43978295	+	ENST00000472174	ATP6V0B	ENSG00000117410
1	havana	206684905	206734281	+	ENST00000367103	MAPKAPK2	ENSG00000162889
1	ensembl_havana	26280086	26281522	+	ENST00000270792	SH3BGRL3	ENSG00000142669
1	ensembl_havana	26317958	26320523	+	ENST00000374213	CD52	ENSG00000169442
1	ensembl_havana	226062716	226072019	+	ENST00000366815	H3-3A	ENSG00000163041
1	ensembl_havana	226144679	226186741	-	ENST00000366812	ACBD3	ENSG00000182827
1	ensembl_havana	224183240	224193441	+	ENST00000323699	DEGS1	ENSG00000143753
1	ensembl_havana	39560816	39576790	-	ENST00000372858	PABPC4	ENSG00000090621
1	havana	150508109	150513789	+	ENST00000369047	ECM1	ENSG00000143369
1	havana	150622125	150629612	-	ENST00000369014	ENSA	ENSG00000143420
1	ensembl_havana	150623281	150629577	-	ENST00000271690	ENSA	ENSG00000143420
1	havana	150563102	150579610	-	ENST00000678770	MCL1	ENSG00000143384
1	ensembl_havana	150574558	150579610	-	ENST00000369026	MCL1	ENSG00000143384
1	havana	150574720	150579594	-	ENST00000676522	MCL1	ENSG00000143384
1	ensembl_havana	42682418	42703805	+	ENST00000321358	YBX1	ENSG00000065978
1	havana	42682440	42697262	+	ENST00000332220	YBX1	ENSG00000065978
1	havana	42682987	42702349	+	ENST00000436427	YBX1	ENSG00000065978
1	havana	42683156	42697211	+	ENST00000467957	YBX1	ENSG00000065978
1	ensembl_havana	32179675	32198285	+	ENST00000373610	TXLNA	ENSG00000084652
1	ensembl_havana	32292083	32333626	+	ENST00000373548	HDAC1	ENSG00000116478
1	ensembl_havana	32333839	32336233	-	ENST00000329421	MARCKSL1	ENSG00000175130
1	havana	110401253	110407694	-	ENST00000602318	LAMTOR5	ENSG00000134248
1	ensembl_havana	28736940	28769775	+	ENST00000373812	YTHDF2	ENSG00000198492
1	ensembl_havana	160995211	161021152	-	ENST00000368026	F11R	ENSG00000158769
1	ensembl_havana	161037631	161038964	-	ENST00000423014	TSTD1	ENSG00000215845
1	ensembl_havana	161070998	161089558	-	ENST00000368012	NECTIN4	ENSG00000143217
1	ensembl_havana	161100561	161118037	-	ENST00000368010	PFDN2	ENSG00000143256
1	havana	39026318	39034636	+	ENST00000372967	NDUFS5	ENSG00000168653
1	ensembl_havana	39026350	39034615	+	ENST00000372969	NDUFS5	ENSG00000168653
1	ensembl_havana	161314381	161363206	+	ENST00000367975	SDHC	ENSG00000143252
1	ensembl_havana	226360691	226408093	-	ENST00000366794	PARP1	ENSG00000143799
1	havana	161202367	161214395	+	ENST00000676972	NDUFS2	ENSG00000158864
1	havana	45511051	45521884	-	ENST00000319248	PRDX1	ENSG00000117450
1	havana	45584041	45606680	+	ENST00000464190	NASP	ENSG00000132780
1	havana	153959110	153963537	-	ENST00000356205	SLC39A1	ENSG00000143570
1	havana	67412867	67430372	-	ENST00000370990	SERBP1	ENSG00000142864
1	havana	67419765	67425120	-	ENST00000484880	SERBP1	ENSG00000142864
1	ensembl_havana	40040729	40072648	+	ENST00000372805	CAP1	ENSG00000131236
1	havana	165727538	165768876	-	ENST00000464650	TMCO1	ENSG00000143183
1	ensembl_havana	45550826	45570049	+	ENST00000351829	AKR1A1	ENSG00000117448
1	ensembl_havana	150796208	150808260	-	ENST00000271651	CTSK	ENSG00000143387
1	havana	150732380	150765778	-	ENST00000681444	CTSS	ENSG00000163131
1	ensembl_havana	89052319	89065208	-	ENST00000370473	GBP1	ENSG00000117228
1	ensembl_havana	89106132	89126114	-	ENST00000370466	GBP2	ENSG00000162645
1	havana	27666064	27672192	-	ENST00000361157	IFI6	ENSG00000126709
1	havana	27666066	27672198	-	ENST00000362020	IFI6	ENSG00000126709
1	ensembl_havana	1013497	1014540	+	ENST00000649529	ISG15	ENSG00000187608
1	ensembl_havana	1020120	1056116	+	ENST00000379370	AGRN	ENSG00000188157
1	ensembl_havana	54200167	54218383	+	ENST00000360840	MRPL37	ENSG00000116221
1	havana	230837119	230868521	-	ENST00000366663	C1orf198	ENSG00000119280
1	ensembl_havana	154582057	154608186	-	ENST00000368474	ADAR	ENSG00000160710
1	ensembl_havana	43363401	43368011	-	ENST00000372458	ELOVL1	ENSG00000066322
1	ensembl_havana	156591776	156594299	+	ENST00000368235	NAXE	ENSG00000163382
1	ensembl_havana	156699606	156705583	-	ENST00000368222	CRABP2	ENSG00000143320
1	ensembl_havana	156737303	156741088	-	ENST00000361531	MRPL24	ENSG00000143314
1	havana	156737305	156741131	-	ENST00000368211	MRPL24	ENSG00000143314
1	ensembl_havana	156742109	156751675	-	ENST00000357325	HDGF	ENSG00000143321
1	ensembl_havana	156767535	156800815	+	ENST00000271526	PRCC	ENSG00000143294
1	havana	51269918	51271536	+	ENST00000486691	RNF11	ENSG00000123091
1	ensembl_havana	32013868	32043877	+	ENST00000327300	KHDRBS1	ENSG00000121774
1	ensembl_havana	32108056	32176563	+	ENST00000373625	KPNA6	ENSG00000025800
1	ensembl_havana	92832040	92841924	+	ENST00000370321	RPL5	ENSG00000122406
1	havana	92840525	92841921	+	ENST00000644549	RPL5	ENSG00000122406
1	ensembl_havana	21217247	21345504	-	ENST00000415912	ECE1	ENSG00000117298
1	ensembl_havana	149813225	149813693	-	ENST00000331491	H3C13	ENSG00000183598
1	ensembl_havana	149886918	149887411	+	ENST00000331380	H2AC20	ENSG00000184260
1	ensembl_havana	149887469	149887965	-	ENST00000331128	H2AC21	ENSG00000184270
1	ensembl_havana	149923317	149927803	-	ENST00000271628	SF3B4	ENSG00000143368
1	havana	201134772	201154494	-	ENST00000367334	TMEM9	ENSG00000116857
1	ensembl_havana	225777826	225790464	+	ENST00000304786	SRP9	ENSG00000143742
1	ensembl_havana	225845536	225882380	-	ENST00000366835	TMEM63A	ENSG00000196187
1	havana	225856704	225859541	-	ENST00000487971	TMEM63A	ENSG00000196187
1	ensembl_havana	225810124	225845563	+	ENST00000272167	EPHX1	ENSG00000143819
1	ensembl_havana	11054589	11060018	-	ENST00000376957	SRM	ENSG00000116649
1	ensembl_havana	11066618	11099869	-	ENST00000376936	EXOSC10	ENSG00000171824
1	havana	25242249	25247454	-	ENST00000498238	RSRP1	ENSG00000117616
1	ensembl_havana	25338334	25362361	+	ENST00000374358	TMEM50A	ENSG00000183726
1	havana	31906421	31938368	-	ENST00000647444	PTP4A2	ENSG00000184007
1	ensembl_havana	234604269	234610178	-	ENST00000366609	IRF2BP2	ENSG00000168264
1	havana	234607231	234608094	-	ENST00000491430	IRF2BP2	ENSG00000168264
1	ensembl_havana	202133404	202144737	-	ENST00000272217	ARL8A	ENSG00000143862
1	ensembl_havana	151759647	151763496	-	ENST00000368830	MRPL9	ENSG00000143436
1	ensembl_havana	151982915	151993859	-	ENST00000368811	S100A10	ENSG00000197747
1	havana	25800193	25818221	+	ENST00000374315	SELENON	ENSG00000162430
1	ensembl_havana	15409888	15430339	+	ENST00000375980	EFHD2	ENSG00000142634
1	ensembl	71065719	71081289	-	ENST00000611683	ZRANB2	ENSG00000132485
1	havana	150965186	150974835	-	ENST00000368954	CERS2	ENSG00000143418
1	ensembl_havana	151050985	151059622	-	ENST00000357235	CDC42SE1	ENSG00000197622
1	havana	151052114	151059574	-	ENST00000483763	CDC42SE1	ENSG00000197622
1	ensembl_havana	241497603	241519755	-	ENST00000366560	FH	ENSG00000091483
1	ensembl_havana	1541673	1574863	-	ENST00000291386	SSU72	ENSG00000160075
1	havana	156114711	156137866	+	ENST00000677389	LMNA	ENSG00000160789
1	ensembl_havana	156114711	156140081	+	ENST00000368300	LMNA	ENSG00000160789
1	havana	21822244	21937310	-	ENST00000374695	HSPG2	ENSG00000142798
1	havana	36136572	36149486	-	ENST00000373166	TRAPPC3	ENSG00000054116
1	ensembl_havana	153534599	153535991	-	ENST00000368719	S100A6	ENSG00000197956
1	ensembl_havana	153543621	153545806	-	ENST00000368716	S100A4	ENSG00000196154
1	ensembl_havana	153606886	153613137	-	ENST00000368706	S100A16	ENSG00000188643
1	ensembl_havana	153614255	153616325	-	ENST00000344616	S100A14	ENSG00000189334
1	havana	153618799	153627505	-	ENST00000476133	S100A13	ENSG00000189171
1	havana	153628434	153632039	+	ENST00000292169	S100A1	ENSG00000160678
1	ensembl_havana	36455718	36464384	-	ENST00000373116	MRPS15	ENSG00000116898
1	havana	202013778	202015794	+	ENST00000475698	ELF3	ENSG00000163435
1	ensembl_havana	29147743	29181900	-	ENST00000373795	SRSF4	ENSG00000116350
1	ensembl_havana	154924740	154936719	-	ENST00000368467	PMVK	ENSG00000163344
1	ensembl_havana	154957026	154961782	-	ENST00000368457	PYGO2	ENSG00000163348
1	ensembl_havana	154962298	154974376	-	ENST00000368453	SHC1	ENSG00000160691
1	ensembl_havana	154974681	154979251	+	ENST00000308987	CKS1B	ENSG00000173207
1	ensembl_havana	145992435	145996579	-	ENST00000582401	TXNIP	ENSG00000265972
1	ensembl_havana	152032506	152037004	-	ENST00000271638	S100A11	ENSG00000163191
1	ensembl_havana	26863149	26864456	+	ENST00000339276	SFN	ENSG00000175793
1	ensembl_havana	26921743	26946871	+	ENST00000321265	NUDC	ENSG00000090273
1	ensembl_havana	26472440	26476642	+	ENST00000361427	HMGN2	ENSG00000198830
1	havana	26472511	26475568	+	ENST00000463817	HMGN2	ENSG00000198830
1	ensembl_havana	204403381	204411817	-	ENST00000367188	PPP1R15B	ENSG00000158615
1	havana	23959828	23961880	+	ENST00000374468	PNRC2	ENSG00000189266
1	ensembl_havana	23959828	23963462	+	ENST00000334351	PNRC2	ENSG00000189266
1	havana	204537875	204542931	+	ENST00000462012	MDM4	ENSG00000198625
1	ensembl_havana	51789210	51878727	-	ENST00000352171	NRDC	ENSG00000078618
1	havana	171485551	171532792	+	ENST00000476522	PRRC2C	ENSG00000117523
1	havana	171485551	171593511	+	ENST00000367742	PRRC2C	ENSG00000117523
1	ensembl_havana	119911553	120069662	-	ENST00000256646	NOTCH2	ENSG00000134250
1	havana	1386713	1392525	-	ENST00000418865	CCNL2	ENSG00000221978
1	ensembl_havana	1392288	1399317	-	ENST00000408918	CCNL2	ENSG00000221978
1	havana	155185824	155192915	-	ENST00000620103	MUC1	ENSG00000185499
1	havana	155191863	155192909	-	ENST00000620770	MUC1	ENSG00000185499
1	ensembl_havana	31652263	31704017	-	ENST00000373672	COL16A1	ENSG00000084636
1	ensembl_havana	165662216	165698562	-	ENST00000354775	ALDH9A1	ENSG00000143149
1	ensembl_havana	149852608	149853125	+	ENST00000403683	H3C15	ENSG00000203852
1	havana	149811879	149812370	-	ENST00000369167	H2BC18	ENSG00000203814
1	ensembl_havana	149860764	149861159	-	ENST00000579512	H4C15	ENSG00000270276
1	ensembl_havana	149851061	149851594	+	ENST00000607355	H2AC19	ENSG00000288859
1	havana	149842218	149842750	-	ENST00000369159	H2AC18	ENSG00000288825
1	havana	149884459	149886682	-	ENST00000369155	H2BC21	ENSG00000184678
1	ensembl_havana	149832657	149833052	+	ENST00000578186	H4C14	ENSG00000270882
1	ensembl_havana	201483530	201507123	-	ENST00000340006	CSRP1	ENSG00000159176
1	havana	145921632	145927447	-	ENST00000632555	RBM8A	ENSG00000265241
1	havana	145925642	145927460	-	ENST00000369307	RBM8A	ENSG00000265241
1	ensembl_havana	112619832	112671616	+	ENST00000263168	CAPZA1	ENSG00000116489
1	ensembl_havana	112701131	112707127	-	ENST00000339083	RHOC	ENSG00000155366
1	ensembl_havana	219968600	220046505	-	ENST00000366923	EPRS1	ENSG00000136628
1	ensembl_havana	220094132	220148041	+	ENST00000366922	IARS2	ENSG00000067704
1	ensembl_havana	39331138	39486987	+	ENST00000289893	MACF1	ENSG00000127603
1	ensembl_havana	46040140	46132629	-	ENST00000262741	PIK3R3	ENSG00000117461
1	havana	42456561	42460414	+	ENST00000372556	PPCS	ENSG00000127125
1	havana	114716913	114757983	-	ENST00000339438	CSDE1	ENSG00000009307
1	ensembl_havana	114717957	114757982	-	ENST00000534699	CSDE1	ENSG00000009307
1	havana	114736758	114757969	-	ENST00000525132	CSDE1	ENSG00000009307
1	ensembl_havana	202940832	202958312	-	ENST00000340990	ADIPOR1	ENSG00000159346
1	ensembl_havana	202961873	202967257	-	ENST00000367249	CYB5R1	ENSG00000159348
1	ensembl_havana	19074510	19210266	-	ENST00000375254	UBR4	ENSG00000127481
1	havana	183623266	183635682	-	ENST00000367534	ARPC5	ENSG00000162704
1	ensembl_havana	183626458	183635757	-	ENST00000294742	ARPC5	ENSG00000162704
1	havana	20743135	20749747	-	ENST00000488722	HP1BP3	ENSG00000127483
1	havana	20757199	20787312	-	ENST00000424732	HP1BP3	ENSG00000127483
1	havana	151176304	151190197	-	ENST00000368892	VPS72	ENSG00000163159
1	havana	111449465	111461332	+	ENST00000369721	ATP5PB	ENSG00000116459
1	havana	111449484	111461026	+	ENST00000483994	ATP5PB	ENSG00000116459
1	havana	86862445	86914126	-	ENST00000331835	SELENOF	ENSG00000183291
1	ensembl_havana	228458103	228458558	+	ENST00000693095	H2BC26	ENSG00000196890
1	ensembl_havana	228487382	228496188	+	ENST00000305943	RNF187	ENSG00000168159
1	ensembl_havana	156213007	156240042	+	ENST00000368277	PMF1	ENSG00000160783
1	havana	70246730	70250725	+	ENST00000460795	SRSF11	ENSG00000116754
1	ensembl_havana	109213918	109238182	+	ENST00000234677	SARS1	ENSG00000031698
1	havana	33013044	33036877	-	ENST00000480134	AK2	ENSG00000004455
1	havana	22635077	22639652	+	ENST00000695738	C1QA	ENSG00000173372
1	ensembl_havana	22636628	22639678	+	ENST00000374642	C1QA	ENSG00000173372
1	havana	22643633	22648108	+	ENST00000374640	C1QC	ENSG00000159189
1	havana	22653236	22661637	+	ENST00000509305	C1QB	ENSG00000173369
1	havana	207752057	207795513	+	ENST00000354848	CD46	ENSG00000117335
1	ensembl_havana	32775239	32817358	-	ENST00000373477	YARS1	ENSG00000134684
1	havana	35176378	35180645	-	ENST00000468598	SFPQ	ENSG00000116560
1	havana	35176378	35190574	-	ENST00000470472	SFPQ	ENSG00000116560
1	havana	35176380	35179246	-	ENST00000466213	SFPQ	ENSG00000116560
1	ensembl_havana	35182936	35193145	-	ENST00000357214	SFPQ	ENSG00000116560
1	ensembl_havana	162497818	162529631	+	ENST00000489294	UHMK1	ENSG00000152332
1	havana	225496885	225652699	-	ENST00000635051	ENAH	ENSG00000154380
1	havana	225519044	225567270	-	ENST00000497899	ENAH	ENSG00000154380
1	havana	225519198	225580257	-	ENST00000391874	ENAH	ENSG00000154380
1	havana	15807374	15807649	-	ENST00000696689	UQCRHL	ENSG00000233954
1	ensembl_havana	196652043	196747504	+	ENST00000367429	CFH	ENSG00000000971
1	ensembl_havana	32222407	32231604	+	ENST00000677711	EIF3I	ENSG00000084623
1	ensembl_havana	154206720	154220590	-	ENST00000368521	C1orf43	ENSG00000143612
1	ensembl_havana	154206720	154220624	-	ENST00000350592	C1orf43	ENSG00000143612
1	havana	154207230	154208517	-	ENST00000483282	C1orf43	ENSG00000143612
1	havana	154220885	154235294	+	ENST00000441890	UBAP2L	ENSG00000143569
1	ensembl_havana	154220955	154270847	+	ENST00000428931	UBAP2L	ENSG00000143569
1	ensembl_havana	156054782	156058506	+	ENST00000368305	LAMTOR2	ENSG00000116586
1	ensembl_havana	58575433	58577252	-	ENST00000371225	TACSTD2	ENSG00000184292
1	ensembl_havana	84498325	84506581	-	ENST00000370645	GNG5	ENSG00000174021
1	havana	203795623	203854124	+	ENST00000550078	ZBED6	ENSG00000257315
1	ensembl_havana	223712539	223776018	+	ENST00000295006	CAPN2	ENSG00000162909
1	havana	223752019	223757497	+	ENST00000480581	CAPN2	ENSG00000162909
1	ensembl_havana	154272629	154275875	+	ENST00000328703	HAX1	ENSG00000143575
1	ensembl_havana	153357854	153361023	+	ENST00000368738	S100A9	ENSG00000163220
1	ensembl_havana	153390032	153391073	-	ENST00000368733	S100A8	ENSG00000143546
1	havana	1216931	1232001	-	ENST00000360001	SDF4	ENSG00000078808
1	ensembl_havana	150265406	150269303	-	ENST00000360244	APH1A	ENSG00000117362
1	ensembl_havana	150293861	150308979	+	ENST00000614145	MRPS21	ENSG00000266472
1	ensembl_havana	150321533	150353233	+	ENST00000324862	PRPF3	ENSG00000117360
1	havana	1352689	1354264	-	ENST00000474033	MXRA8	ENSG00000162576
1	ensembl_havana	1352691	1358555	-	ENST00000309212	MXRA8	ENSG00000162576
1	ensembl_havana	1373736	1375207	-	ENST00000338338	AURKAIP1	ENSG00000175756
1	havana	9729028	9751581	-	ENST00000435891	CLSTN1	ENSG00000171603
1	ensembl_havana	9729028	9823984	-	ENST00000361311	CLSTN1	ENSG00000171603
1	ensembl_havana	7771296	7781432	+	ENST00000054666	VAMP3	ENSG00000049245
1	havana	7954291	7985052	+	ENST00000493373	PARK7	ENSG00000116288
1	ensembl_havana	7961711	7985505	+	ENST00000338639	PARK7	ENSG00000116288
1	havana	161541759	161549818	-	ENST00000443193	FCGR3A	ENSG00000203747
1	ensembl_havana	160343383	160358949	+	ENST00000294785	NCSTN	ENSG00000162736
1	havana	228082708	228099212	+	ENST00000272102	ARF1	ENSG00000143761
1	havana	164559184	164851831	+	ENST00000420696	PBX1	ENSG00000185630
1	ensembl_havana	27404230	27490167	-	ENST00000618852	WASF2	ENSG00000158195
1	havana	146156098	146229041	-	ENST00000688759	NOTCH2NLA	ENSG00000264343
1	ensembl_havana	167541013	167553762	-	ENST00000370509	CREG1	ENSG00000143162
1	havana	151364304	151372705	-	ENST00000368868	SELENBP1	ENSG00000143416
1	ensembl_havana	151399573	151401937	+	ENST00000290541	PSMB4	ENSG00000159377
1	havana	151423499	151424463	-	ENST00000482678	POGZ	ENSG00000143442
1	havana	77946482	77979087	-	ENST00000294623	FUBP1	ENSG00000162613
1	ensembl_havana	1785286	1891087	-	ENST00000378609	GNB1	ENSG00000078369
1	havana	1804526	1832285	-	ENST00000437146	GNB1	ENSG00000078369
1	ensembl_havana	8861000	8878686	-	ENST00000234590	ENO1	ENSG00000074800
1	ensembl_havana	8352404	8817640	-	ENST00000400908	RERE	ENSG00000142599
1	havana	8656193	8703219	-	ENST00000468247	RERE	ENSG00000142599
1	havana	244845200	244864488	-	ENST00000640306	HNRNPU	ENSG00000153187
1	havana	244853752	244864494	-	ENST00000283179	HNRNPU	ENSG00000153187
1	ensembl_havana	2228319	2310213	+	ENST00000378536	SKI	ENSG00000157933
1	havana	224389254	224433871	-	ENST00000704632	WDR26	ENSG00000162923
1	ensembl_havana	180154897	180198034	+	ENST00000367600	QSOX1	ENSG00000116260
1	havana	154156364	154183205	-	ENST00000330188	TPM3	ENSG00000143549
1	ensembl_havana	154157112	154183227	-	ENST00000509409	TPM3	ENSG00000143549
1	ensembl_havana	154157558	154183210	-	ENST00000611659	TPM3	ENSG00000143549
1	ensembl_havana	24745447	24844321	+	ENST00000374379	CLIC4	ENSG00000169504
1	havana	24643308	24671595	+	ENST00000479034	SRRM1	ENSG00000133226
1	ensembl_havana	203626832	203744081	+	ENST00000357681	ATP2B4	ENSG00000058668
1	havana	23309786	23344322	-	ENST00000374612	HNRNPR	ENSG00000125944
1	havana	19338775	19485539	-	ENST00000264202	CAPZB	ENSG00000077549
1	ensembl_havana	19644311	19658452	+	ENST00000375136	NBL1	ENSG00000158747
1	havana	22052671	22092946	+	ENST00000695858	CDC42	ENSG00000070831
1	ensembl_havana	203340628	203351122	-	ENST00000354955	FMOD	ENSG00000122176
1	ensembl_havana	33323626	33349885	-	ENST00000373418	PHC2	ENSG00000134686
1	ensembl_havana	203305519	203309602	+	ENST00000290551	BTG2	ENSG00000159388
1	ensembl_havana	6185020	6199595	-	ENST00000234875	RPL22	ENSG00000116251
1	havana	6186615	6200842	-	ENST00000497965	RPL22	ENSG00000116251
1	havana	6186692	6209244	-	ENST00000471204	RPL22	ENSG00000116251
